,Edit,Resistance Dist.,DeltaCon,NetSimile,Lambda (Adjacency),Lambda (Laplacian),Lambda (Normalized Laplacian)
51,7.82012939453125e-05,0.006757974624633789,0.0026769638061523438,0.22063088417053223,0.009963035583496094,0.011731863021850586,0.011977910995483398
52,6.699562072753906e-05,0.006949901580810547,0.0029401779174804688,0.2051839828491211,0.012083053588867188,0.011609792709350586,0.011527061462402344
53,7.605552673339844e-05,0.0067670345306396484,0.0028247833251953125,0.20333075523376465,0.010801076889038086,0.010184049606323242,0.011574983596801758
54,6.794929504394531e-05,0.006704092025756836,0.0026900768280029297,0.19079804420471191,0.010374069213867188,0.012082815170288086,0.012052059173583984
55,7.700920104980469e-05,0.0067098140716552734,0.002874135971069336,0.1910109519958496,0.010334968566894531,0.01061558723449707,0.011935234069824219
56,6.699562072753906e-05,0.00663304328918457,0.003111124038696289,0.22181296348571777,0.011597633361816406,0.010751008987426758,0.011625289916992188
57,6.890296936035156e-05,0.006701946258544922,0.0032258033752441406,0.20499920845031738,0.010937690734863281,0.011312246322631836,0.011739015579223633
58,6.198883056640625e-05,0.006867885589599609,0.0043981075286865234,0.200761079788208,0.009924173355102539,0.010820865631103516,0.01187896728515625
59,6.389617919921875e-05,0.0063288211822509766,0.002833843231201172,0.2507750988006592,0.010020256042480469,0.011109113693237305,0.012189865112304688
60,5.888938903808594e-05,0.006599903106689453,0.0026776790618896484,0.20350122451782227,0.009881973266601562,0.010685205459594727,0.011760950088500977
61,7.343292236328125e-05,0.006752967834472656,0.002841949462890625,0.2008650302886963,0.009641885757446289,0.010520219802856445,0.011667966842651367
62,6.818771362304688e-05,0.0068018436431884766,0.002830982208251953,0.203643798828125,0.010462045669555664,0.010553121566772461,0.012758016586303711
63,6.604194641113281e-05,0.006786823272705078,0.0031709671020507812,0.20894479751586914,0.01026010513305664,0.01087498664855957,0.011678934097290039
64,6.389617919921875e-05,0.006819009780883789,0.0027692317962646484,0.21647381782531738,0.010162115097045898,0.010668039321899414,0.011863946914672852
65,8.606910705566406e-05,0.0066738128662109375,0.002874135971069336,0.19221806526184082,0.00984811782836914,0.010717153549194336,0.01171565055847168
